times,actRea,egoAcc,actVel,actAcc,disInit,DTC,PET,isCollision
1,0,2.9,48,0,82,13.473182315256,1360,Success
1,0,2.9,48,0,83,14.4380066961273,1420,Success
1,0,2.9,48,0,84,15.4060782315627,1500,Success
1,0,2.9,48,0,85,16.3769732186689,1580,Success
1,0,2.9,48,0,86,17.3503376478449,1660,Success
1,0,2.9,48,0,87,18.3258736179717,1720,Success
1,0,2.9,48,0,88,19.303328770946,1800,Success
1,0,2.9,48,0,89,20.2824880002245,1880,Success
1,0,2.9,48,0,90,21.2631668885233,1960,Success
1,0,2.9,48,0,91,22.2452064723899,2020,Success
1,0,2.9,48,0,92,23.2284690337863,2100,Success
1,0,2.9,48,0,93,24.2128346931165,2180,Success
1,0,2.9,48,0,94,25.1981986325393,2260,Success
1,0,2.9,48,0,95,26.1844688186146,2320,Success
1,0,2.9,48,0,96,27.1715641232944,2400,Success
1,0,2.9,48,0,97,28.1594127648022,2480,Success
1,0,2.9,48,0,98,29.1479510070018,2560,Success
1,0,2.9,48,0,99,30.137122068889,2620,Success
1,0,2.9,48,0,100,31.1268752058531,2700,Success
1,0,2.9,48,0,101,32.1171649321094,2780,Success
1,0,2.9,48,0,102,33.1079503597491,2860,Success
1,0,2.9,48,0,103,34.0991946345921,2920,Success
1,0,2.9,48,0,104,35.0908644527661,3000,Success
1,0,2.9,48,0,105,36.0829296449052,3080,Success
1,0,2.9,48,0,106,37.0753628172269,3160,Success
1,0,2.9,48,0,107,38.0681390406458,3220,Success
1,0,2.9,48,0,108,39.0612355806143,3300,Success
1,0,2.9,48,0,109,40.054631661619,3380,Success
1,0,2.9,48,0,110,41.0483082612718,3460,Success
1,0,2.9,48,0,111,42.0422479297589,3520,Success
1,0,2.9,48,0,112,43.0364346310892,3600,Success
1,0,2.9,48,0,113,44.0308536031388,3680,Success
1,0,2.9,48,0,114,45.0254912339552,3760,Success
1,0,2.9,48,0,115,46.0203349521622,3820,Success
1,0,2.9,48,0,116,47.0153731296317,3900,Success
1,0,2.9,48,0,117,48.0105949948532,3980,Success
1,0,2.9,48,0,118,49.0059905556567,4060,Success
1,0,2.9,48,0,119,50.0015505301345,4120,Success
1,0,2.9,48,0,120,50.9972662847671,4200,Success
1,0,2.9,48,0,121,51.9931297788934,4280,Success
1,0,2.9,48,0,122,52.9891335147799,4360,Success
1,0,2.9,48,0,123,53.985270492643,4420,Success
1,0,2.9,48,0,124,54.9815341700622,4500,Success
1,0,2.9,48,0,125,55.9779184252912,4580,Success
1,0,2.9,48,0,126,56.9744175240398,4660,Success
1,0,2.9,48,0,127,57.9710260893485,4720,Success
1,0,2.9,48,0,128,58.9677390742268,4800,Success
1,0,2.9,48,0,129,59.9645517367635,4880,Success
1,0,2.9,48,0,130,60.9614596174535,4960,Success
